Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя,method,param_base_name,cleaned_value,smiles
Детергент_4,0338.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,16.68,ASTM D445,"Кинематическая вязкость, при 100°C",16.68,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_4,0338.22,"Массовая доля кальция, ASTM D6481",% масс,6.144,ASTM D6481,Массовая доля кальция,6.144,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_4,0338.22,"Массовая доля цинка, ASTM D6481",% масс,0.0064,ASTM D6481,Массовая доля цинка,0.0064,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_4,0338.22,"Щелочное число, ASTM D2896",мг KOH/г,168,ASTM D2896,Щелочное число,168.0,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Противоизносная_присадка_8,0186.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,13.74,ASTM D445,"Кинематическая вязкость, при 100°C",13.74,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_8,0186.22,"Массовая доля кальция, ASTM D6481",% масс,0.001,ASTM D6481,Массовая доля кальция,0.001,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_8,0186.22,"Массовая доля фосфора, ASTM D6481",% масс,8.049,ASTM D6481,Массовая доля фосфора,8.049,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_8,0186.22,"Массовая доля цинка, ASTM D6481",% масс,9.095,ASTM D6481,Массовая доля цинка,9.095,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_8,0186.22,"Щелочное число, ASTM D2896",мг KOH/г,17.8,ASTM D2896,Щелочное число,17.8,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Депрессорная_присадка_3,0246.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,846.19,ASTM D445,"Кинематическая вязкость, при 40°C",846.19,CC(=C)C(=O)OCCCCCCCCCCCC
Депрессорная_присадка_3,0246.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,113.83,ASTM D445,"Кинематическая вязкость, при 100°C",113.83,CC(=C)C(=O)OCCCCCCCCCCCC
Базовое_масло_3,0415.22,Деэм.вода | ASTM D1401,мл,40,ASTM D1401,Деэм.вода |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,Деэм.время | ASTM D1401,мин,5,ASTM D1401,Деэм.время |,5.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,Деэм.масло | ASTM D1401,мл,40,ASTM D1401,Деэм.масло |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,357,ASTM D5293,Динамическая вязкость CCS -15°C,357.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,581,ASTM D5293,Динамическая вязкость CCS -20°C,581.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,928,ASTM D5293,Динамическая вязкость CCS -25°C,928.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1574,ASTM D5293,Динамическая вязкость CCS -30°C,1574.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,2866,ASTM D5293,Динамическая вязкость CCS -35°C,2866.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Индекс вязкости, ГОСТ 25371",–,132,ГОСТ 25371,Индекс вязкости,132.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Испаряемость по NOACK, ASTM D5800",%,12.9,ASTM D5800,Испаряемость по NOACK,12.9,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,20.84,ASTM D445,"Кинематическая вязкость, при 40°C",20.84,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.501,ASTM D445,"Кинематическая вязкость, при 100°C",4.501,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Массовая доля кальция, ASTM D6481",% масс,0.00015,ASTM D6481,Массовая доля кальция,0.00015,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Массовая доля серы, ASTM D6481",% масс,0.00105,ASTM D6481,Массовая доля серы,0.00105,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00019,ASTM D6481,Массовая доля фосфора,0.00019,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Массовая доля цинка, ASTM D6481",% масс,0.00001,ASTM D6481,Массовая доля цинка,1e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0415.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-14,ГОСТ 20287,Температура застывания,-14.0,CCCCCCCCCCCCCCCCCCCC
